区县,名称,电话,联系人,邮编,地址,创建时间,房屋面积,服务项目
黄浦区,外滩街道社区文化活动中心,63295400,朱士平,200002,河南中路578号,2009-05,2850,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,外滩街道云南居委老年活动室,63110018,李惠英,200021,永寿路119号,2001-04,20,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点，助餐服务
黄浦区,外滩街道汉口居委老年活动室,63217751,张如芳,200002,河南中路382弄10号,2003-08,75,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点，助餐服务
黄浦区,外滩街道山西居委老年活动室,63224564,屠和平,200001,汉口路429弄7号,2008-04,119.77,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,外滩街道瑞福居委老年活动室,63263668,陆建芳,200021,延安东路401弄23号101室,2010-10,109,阅览，医疗咨询与健康教育，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,外滩街道东风居委老年活动室,63224176,蒋玉静,200001,南京东路486弄15号,2007-05,56,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,外滩街道宁波居委老年活动室,56307586 63502542,王佩林 季德凤,200002,宁波路120弄24号,2010-01,100,医疗咨询与健康教育，老人康乐、兴趣小组活动，远程收视点
黄浦区,小东门街道王码居委多功能活动室,63663613,朱国利,200010,赵家湾街21号,2005-05,105,阅览，社区为老服务便民活动，老人康乐、兴趣小组活动，远程收视点
黄浦区,小东门街道金坛居委多功能活动室,63773309,茅爱萍,200010,永泰街36号,2007-01,80,阅览，社区为老服务便民活动，远程收视点
黄浦区,小东门街道新码居委多功能活动室,33150012,邵黛凤,200010,豆市街4号,2011-03,50,阅览，医疗咨询与健康教育，社区为老服务便民活动，远程收视点
黄浦区,外滩街道虎丘居委老年活动室,63210419,蒋新民,200002,四川中路572弄19号,2005-05,82,阅览，医疗咨询与健康教育，社区为老服务便民活动，老人康乐、兴趣小组活动，远程收视点
黄浦区,外滩街道北京居委老年活动室,63210629,谢善娟,200002,北京东路288弄80号,2009-08,173,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,半淞园路街道社区文化活动中心,63124382,郑云,200011,西藏南路1360号,2009-11,800,阅览，老人康乐、兴趣小组活动
黄浦区,老西门街道蓬莱居委老年活动室,33040074,周建国,200010,蓬莱374号,2011-01,400,阅览，医疗咨询与健康教育，社区为老服务便民活动，老人康乐、兴趣小组活动
黄浦区,老西门街道小桃园老年活动室,53570304,王明华,200010,西仓桥街112弄22号,2011-07,90,阅览，医疗咨询与健康教育，谈心服务
黄浦区,老西门街道文庙老年活动室,33050034,钱凤珠,200010,学西街19号,2010-09,220,阅览，医疗咨询与健康教育，社区为老服务便民活动，老人康乐、兴趣小组活动
黄浦区,老西门街道陆兴老年活动室,53570295,刘福珍,200010,迎勋路100弄9号,1998-01,200,涉老法律咨询与宣传，老人康乐、兴趣小组活动
黄浦区,老西门街道小西门居委活动室,53570001,艾亚玲,200010,蓬莱路374号,2010-01,200,阅览，医疗咨询与健康教育，社区为老服务便民活动，老人康乐、兴趣小组活动
黄浦区,南京东路街道新桥居委老年活动室,63273241,陈萍,200003,新桥路19弄4号,2010-11,110,阅览，社区为老服务便民活动，老人康乐、兴趣小组活动，远程收视点
黄浦区,南京东路街道振兴居委老年活动室,63274158,袁爱华,200003,重庆北路177弄64号,2006-06,101,阅览，老人康乐、兴趣小组活动，远程收视点
黄浦区,半淞园路街道耀江居委老年活动室,53590145,杨秀芳,200011,半淞园路619号,2008-09,110,阅览，医疗咨询与健康教育，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,小东门街道青龙居委多功能活动室,63131181,汪梅蓉,200011,多稼路217号,1995-08,50,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，远程收视点
黄浦区,小东门街道府谷居委老年活动室,63770095,姜玉萍,200011,江阴街77号,2008-09,101,阅览，远程收视点，助餐服务
黄浦区,豫园街道泰瑞居委老年活动室,63288337,孔庆蕾,200010,金家坊47弄14号,2009-08,72,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，谈心服务，远程收视点
黄浦区,外滩街道永胜居委老年活动室,63289832,李敏,200002,人民路518号,2011-06,80,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,老西门街道艾家居委老年活动室,53570316,陈君兰,200010,艾家弄75号,2002-05,92,阅览，医疗咨询与健康教育，谈心服务
黄浦区,南京东路街道长江居委老年活动室,33060026,陆荣根,200003,北京西路239弄14号101室,2001-02,102,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,南京东路街道江阴居委会老年活动室,63270706,谭耸岚,200003,江阴路105弄22号底层,2007-06,120,阅览，医疗咨询与健康教育，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,半淞园路街道社区老年活动中心,63162597,王瑞颐,200011,瞿溪路120弄4号,2010,1600,阅览，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,老西门街道净土老年活动室,53570314,纪振芳,200011,河南南路555弄7号,1999-03,60,老人康乐、兴趣小组活动
黄浦区,南京东路街道定兴居委老年活动室,33110069,沈惠民,200003,牯岭路167号104室,2006-06,43,阅览，医疗咨询与健康教育，老人康乐、兴趣小组活动
黄浦区,南京东路街道承兴活动室,6327322,陈伟芬,200003,黄河路281弄10号,2000-05,100,阅览，医疗咨询与健康教育，谈心服务，老人康乐、兴趣小组活动
黄浦区,南京东路街道北海居委会老年活动室,63225232,金政一,200001,云南中路158弄7号,2001-04,47,阅览，涉老法律咨询与宣传，社区为老服务便民活动，谈心服务，远程收视点
黄浦区,南京东路街道宏泰金秋老年活动室,63271994,张玲玲,200003,大沽路186弄2号地下室,2001-12,420,阅览，老人康乐、兴趣小组活动
黄浦区,豫园街道老年活动室,63365961,潘玉芳,200010,方浜中路199弄14号,2005-01,300,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，老人康乐、兴趣小组活动，远程收视点
黄浦区,豫园街道大境居委老年活动室,63288913,贺慧芸,200010,青莲街222号,2010-06,40,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，谈心服务，远程收视点
黄浦区,豫园街道肇方居委老年活动室,53580704,杜雪娣,200010,南孔家弄36弄1号,2000-07,100,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动
黄浦区,豫园街道学院居委老年活动室,63289770,谢录妹,200010,昼锦路68号,2005-07,14,阅览，谈心服务，远程收视点
黄浦区,豫园街道同庆居委老年活动室,63284787,黄冠方,200010,金家坊111号,2010-03,40,阅览，谈心服务，远程收视点
黄浦区,豫园街道太阳都市居委老年活动室,33023206,吴筱芳,200010,河南南路398弄4号,2002-08,300,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,小东门街道多稼居委多功能活动室,33766298,翟丽华,200011,丰记码头弄1号,1997-01,30,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动
徐汇区,田林十三村社区老年活动室,64081354,沈引娣,200233,田林十三村34号101室,2004-01,112,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
徐汇区,徐汇区华泾镇联合居委北杨村老年活动站,54287618,沈林宝,200237,老沪闵路1226号,2001-01,176,阅览，社区为老服务便民活动，谈心服务
徐汇区,徐汇区华泾镇联合居委东湾村老年活动站,54826834,陆振东,200231,龙吴路2050弄36号,2001-01,320,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动
徐汇区,徐汇区华泾镇联合居委华浦村老年活动站,54824719,乔林华,200231,宅河头90号,2001-01,350,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动
徐汇区,徐汇区华泾镇华臻居委老年活动室,64966856,葛有林,200231,华发路333弄190,2010-08,290,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
徐汇区,华欣家园社区老年活动室,64965056,徐耀平,200231,龙吴路2412号409室,2005-07,225,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点，助餐服务
徐汇区,华泾四村老年活动室（原华泾第二居委社区老年活动室）,64961291,宦荣兰,200231,华泾路880弄46号,2001-03,100,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，远程收视点，助餐服务
徐汇区,上海市徐汇区华泾绿苑社区老年活动室,34631138,孙莉颖,200231,华济路1号四楼,2011-03,350,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
徐汇区,名苑老年活动室,54820866,陈志远,200231,龙吴路2525弄41-1号,2001-01,165,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点，助餐服务
徐汇区,华建居委会老年活动室,54308998,朱卫彪,200237,老沪闵路1296弄66号,1995-01,150,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点，助餐服务
徐汇区,华阳社区老年活动室,54821508,鲍金森,200231,上海徐汇区龙吟路455弄31号,1995-06,315.2,阅览，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点，助餐服务
徐汇区,华泾镇社区老年活动室,64965289,居乃根,200031,华泾路999弄37号,2007-03,60,医疗咨询与健康教育，社区为老服务便民活动，老人康乐、兴趣小组活动，远程收视点
徐汇区,徐汇区华泾镇华发居委老年活动室,64961924,陈龙宝,200231,华发路180弄26号,1997-04,90,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，远程收视点
徐汇区,光华绿苑居委活动室,54821062,许剑南,200231,55弄62号101-103室,2004-10,160,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点，助餐服务
徐汇区,华泾五村多功能活动室,64960471,杨黎明,200231,华泾路1000弄36号,1999-05,150,阅览，医疗咨询与健康教育，老人康乐、兴趣小组活动，远程收视点
徐汇区,沙家浜居委老年活动室,54823608,杨余芳,200231,华济路2弄34号,1998-08,250,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点，助餐服务
徐汇区,徐汇区华泾镇明丰居委老年活动室,61284222,徐正亮,200231,华发路99弄66号,2008-03,250,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点，助餐服务
徐汇区,徐汇区华泾镇联合居委建华村老年活动站,54824818,宋新宝,200231,华泾路1305弄陆家宅50号,2001-01,369,阅览，涉老法律咨询与宣传，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动
徐汇区,天平街道安亭居委老年活动室,64722150,印翔虎,200031,安亭路71号2室,2000-01,93,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点，助餐服务
徐汇区,广元居委第2老年活动室,64310705,陈雁,200030,天平路179弄3号,2004-01,42,阅览，社区为老服务便民活动
徐汇区,广元居委老年活动室,64310705,崔励华,200030,余庆路170号,2009-01,70,阅览，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
徐汇区,高安居委第2老年活动室,64152193,祝小曼,200030,高安路18弄23号,2006-01,45,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，谈心服务，远程收视点
徐汇区,高安居委老年活动室,64152193,祝小曼,200030,吴兴路246弄,2004-01,75,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务
徐汇区,肇嘉浜居委老年活动室,64333244,邵三陵,200031,襄阳南路499弄1号,2001-01,99,阅览，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，助餐服务
徐汇区,天平街道汇景苑居委老年活动室,54650389,张季英,200031,陕西南路888弄3号,2001-01,144.2,医疗咨询与健康教育，谈心服务，老人康乐、兴趣小组活动，助餐服务
徐汇区,襄南居委老年活动室,64375012,梅庆雯,200031,陕西南路550弄12号101室,2010-02,100,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
徐汇区,吴兴居委老年活动室,64372546,柔美芬,200030,高安路100弄1号,2003-01,100,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，助餐服务
徐汇区,正南居委老年活动室,54364204,刘宇卓,200237,石龙路818弄25号102室,2002-06,200,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，老人康乐、兴趣小组活动，远程收视点
徐汇区,金谷园老年活动室,64865547,郑允强,200235,漕溪路125弄28号,2002-01,120,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，助餐服务
徐汇区,漕河泾街道老年活动中心,64366118,蒋芝芳,200235,康健路135号,2002-01,3000,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
徐汇区,老年活动室,64366118,蒋之芳,200235,龙吴路555弄12号,2009-10,100,阅览，谈心服务，老人康乐、兴趣小组活动，远程收视点，助餐服务
徐汇区,西街老年活动室,64082536,肖小弟,200235,康健路100弄20号108室,2001-12,110,阅览
徐汇区,天平居委老年活动室,62836471,陈俊毅,200031,天平路91弄1号105室,1995-01,45,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，老人康乐、兴趣小组活动
徐汇区,太原居委老年活动室,64660418,韩良玉,200031,永嘉路495弄6号,2010-07,60,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
徐汇区,永康居委第2老年活动室,64722798,严美玉,200031,永康路38弄61号101室,2006-07,56.91,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，助餐服务
徐汇区,永康居委老年活动室,64722798,潘梅芬,200031,襄阳南路277弄5号102室,1995-01,80,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
徐汇区,上海新村居委活动室,64716465,谢家瑜,200031,高安路1弄3号,1995-10,28,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
徐汇区,宛平居委老年活动室,64720247,李秋风,200030,吴兴路270弄6号,2005-03,138,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点，助餐服务
徐汇区,德昌居委活动室,62816058,张怀慈,200030,天平路139弄甲号101室、102,2002-10,100,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
徐汇区,汇成二村居委老年活动室,64236334,潘清,200231,汇成二村20号101室,1999-03,63.2,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
徐汇区,园南一村老年活动室,64778550_,孙惠敏,200231,园南一村1号1幢101室,2003-09,70,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
徐汇区,汇澜园居委会老年活动室,54111537,蒋玉英,200237,石龙路999弄汇京佳丽园2号,2005-07,500,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
徐汇区,百龙居委老年活动室,54364043,崔惠娥,200231,龙吴路1137弄18号106室,2001-02,263,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点，助餐服务
徐汇区,爱建园社区老年活动室,64397493,袁筠,200235,田林东路80号,2008-05,223.23,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动
徐汇区,锦馨苑社区老年活动室,64277898,张慧玲,200336,古井路180号105室,2008-01,204.76,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
徐汇区,万科华尔兹社区老年活动室,64832561,刘德仁,200233,漕宝路77弄10号101室,2008-10,192.86,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，谈心服务，老人康乐、兴趣小组活动
徐汇区,虹梅街道高家浜老年活动室,64360984,史顺福,200233,漕宝路199弄50号,2007-08,140,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动
徐汇区,东兰居委老年活动室,64849040,陆爱法,201102,东兰路51弄2号102、103室,2005-01,120,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
徐汇区,虹梅街道钦北老年活动室,64056459,黄伟强,201103,虹梅路2446号2楼,2005-01,315,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动
徐汇区,古美二居委老年活动室,_54264508,陈翰庆,201102,东兰路151弄5号,2004-04,218,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
徐汇区,古美三居委老年活动室,64849039,王茉莉,201102,古美路1107弄50号101室,2005-01,112,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点，助餐服务
